ID,Ground_Truth_MST_Orb,Lowest_RMSE
1,5,0.0063601677965871625
2,6,0.01948249973870273
3,8,0.01835126973473063
4,6,0.031953110994242764
5,6,0.022174677526126955
6,1,0.024236932802422683
7,6,0.031953110994242764
8,6,0.01391127198290617
9,6,0.010421043985918126
10,6,0.022174677526126955
11,6,0.022174677526126955
12,4,0.0070148224827713546
13,5,0.015347786609395852
14,4,0.031070565502794124
15,5,0.006975380026693463
16,3,0.024179456605978686
17,3,0.014301962065723975
18,2,0.056756153546622674
19,6,0.020800938391986865
20,4,0.05640616453200562
21,5,0.008003293623204906
22,5,0.0071910221282540515
23,1,0.01647475242144238
24,4,0.031150182390295766
25,3,0.013286903902643593
26,3,0.35456487960328076
27,4,0.01930614950399826
28,4,0.05640616453200562
29,4,0.01637803504871543
30,4,0.03484717817671433
31,4,0.050494692885660136
32,3,0.018532872922399763
33,6,0.020156058103931642
34,3,0.04334194895489682
35,4,0.05640616453200562
36,6,0.03262068912146319
37,3,0.05005069286257161
38,5,0.009321782171832764
39,3,0.011130385678558393
40,6,0.017246230268434325
41,1,0.23007487676200095
42,6,0.03262068912146319
43,1,0.3322685105230278
44,5,0.0071910221282540515
45,6,0.03262068912146319
46,3,0.016000861916093963
47,3,0.02897194996767363
48,3,0.02897194996767363
49,3,0.02897194996767363
50,4,0.02812526018171278
51,4,0.050494692885660136
52,3,0.05005069286257161
53,4,0.050494692885660136
54,3,0.015718055393159003
55,1,0.023358462361193863
56,3,0.016541557426823082
57,5,0.015347786609395852
58,3,0.015026301354941762
59,3,0.013286903902643593
60,5,0.011556181885809529
61,4,0.04834837402780291
62,2,0.023291783733811192
63,8,0.018207275838434404
64,6,0.014885170736000262
65,4,0.04834837402780291
66,1,0.01647475242144238
67,3,0.0095860719741039
68,6,0.01948249973870273
69,5,0.010329131717238704
70,3,0.013286903902643593
71,4,0.04834837402780291
72,4,0.05130713207450359
73,4,0.055855121775294815
74,3,0.2927566467694282
75,2,0.023291783733811192
76,3,0.03066772916698413
77,2,0.04832157174637481
78,5,0.010329131717238704
79,8,0.018207275838434404
80,4,0.02482443841589421
81,4,0.005802208869260227
82,3,0.0095860719741039
83,6,0.010421043985918126
84,3,0.013286903902643593
85,3,0.013286903902643593
86,3,0.04334194895489682
87,3,0.013286903902643593
88,2,0.055337391245688615
89,6,0.031953110994242764
90,7,0.012414014898331653
91,7,0.006859167602313163
92,4,0.02000560530227749
93,2,0.023291783733811192
94,3,0.026921805946337373
95,6,0.031953110994242764
96,6,0.014885170736000262
97,4,0.018482631540632767
98,3,0.015638613380103413
99,4,0.055855121775294815
100,3,0.024079660133051257
101,4,0.04834837402780291
102,3,0.015026301354941762
103,2,0.055337391245688615
104,2,0.04832157174637481
105,4,0.016865486445157826
106,6,0.031953110994242764
107,4,0.05130713207450359
108,4,0.027102878665557092
109,2,0.023291783733811192
110,3,0.013286903902643593
111,5,0.015347786609395852
112,2,0.023291783733811192
113,4,0.027102878665557092
114,2,0.04832157174637481
115,4,0.04834837402780291
116,6,0.031953110994242764
117,3,0.015026301354941762
118,4,0.02782831968958531
119,4,0.03786389028149392
120,3,0.013286903902643593
121,2,0.04832157174637481
122,4,0.018482631540632767
123,6,0.013860866969092738
124,3,0.03066772916698413
125,6,0.013860866969092738
126,4,0.016865486445157826
127,4,0.020457374160783883
128,6,0.01948249973870273
129,6,0.010421043985918126
130,5,0.010329131717238704
131,4,0.020457374160783883
132,3,0.015026301354941762
133,4,0.018482631540632767
134,3,0.03066772916698413
135,3,0.013286903902643593
136,5,0.010329131717238704
137,4,0.02482443841589421
138,3,0.015026301354941762
139,3,0.015026301354941762
140,8,0.018207275838434404
141,3,0.018857447127456108
142,3,0.015026301354941762
143,5,0.0104731524891669
144,6,0.031953110994242764
145,3,0.015638613380103413
146,3,0.013286903902643593
147,6,0.031953110994242764
148,4,0.055855121775294815
149,3,0.04334194895489682
150,3,0.03066772916698413
151,3,0.01935868924888746
152,3,0.03066772916698413
153,5,0.015347786609395852
154,3,0.015026301354941762
155,3,0.03066772916698413
156,3,0.024079660133051257
157,3,0.024079660133051257
158,2,0.023291783733811192
159,3,0.03066772916698413
160,3,0.015026301354941762
161,6,0.015062055047943527
162,4,0.018482631540632767
163,6,0.022174677526126955
164,3,0.01935868924888746
165,3,0.013286903902643593
166,3,0.015026301354941762
167,8,0.018207275838434404
168,3,0.03066772916698413
169,4,0.055855121775294815
170,4,0.021178697618513452
171,4,0.027102878665557092
172,2,0.04832157174637481
173,2,0.04372858843136031
174,4,0.01972347123769145
175,6,0.014885170736000262
176,3,0.015638613380103413
177,3,0.013286903902643593
178,6,0.013860866969092738
179,2,0.023291783733811192
180,6,0.031953110994242764
181,2,0.04832157174637481
182,4,0.055855121775294815
183,4,0.030703193179819194
184,5,0.015347786609395852
185,5,0.015347786609395852
186,3,0.03066772916698413
187,5,0.021216249555526014
188,4,0.044263622689733446
189,3,0.0095860719741039
190,5,0.021216249555526014
191,3,0.01935868924888746
192,8,0.018207275838434404
193,3,0.015026301354941762
194,2,0.04832157174637481
195,6,0.02532053185409725
196,3,0.048879212591235094
197,5,0.02501550183225187
198,3,0.03066772916698413
199,5,0.010329131717238704
200,3,0.03066772916698413
201,3,0.026921805946337373
202,2,0.04832157174637481
203,8,0.018207275838434404
204,3,0.01935868924888746
205,3,0.015026301354941762
206,2,0.04372858843136031
207,6,0.031953110994242764
208,3,0.013286903902643593
209,4,0.055855121775294815
