ID,Image,Best_MST_Orb,Lowest_RMSE
18,PXL_20220922_182645489.jpg,1,0.17224922885850633
18,PXL_20220922_183318443.jpg,1,0.14440781788474527
18,PXL_20220922_183322816.jpg,1,0.13422824948274054
18,PXL_20220922_182710449.jpg,1,0.1657057682911338
18,PXL_20220922_182827542.jpg,4,0.14523017727112864
18,PXL_20220922_182722342.jpg,1,0.17929715614733535
18,PXL_20220922_183448133.jpg,5,0.15360452548852413
18,PXL_20220922_183136584.jpg,4,0.14064670805892274
18,PXL_20220922_183620053.PORTRAIT.jpg,5,0.14552135306760183
18,PXL_20220922_183530266.jpg,5,0.14966961946427512
18,PXL_20220922_183125041.jpg,4,0.129455998257237
18,PXL_20220922_183259162.jpg,1,0.13927849692118394
18,PXL_20220922_183456183.jpg,9,0.13742887740639811
18,PXL_20220922_183506625.jpg,5,0.1507104711503323
18,PXL_20220922_183517768.jpg,5,0.14232750068190453
18,PXL_20220922_182706230.jpg,1,0.17522979469257077
18,PXL_20220922_183041910.jpg,1,0.1562845156767309
18,PXL_20220922_182633863.jpg,1,0.18295881999092456
18,PXL_20220922_183609632.PORTRAIT.jpg,4,0.15414453385263602
18,PXL_20220922_183052857.jpg,5,0.13614657035204197
18,PXL_20220922_182708946.jpg,1,0.17286470972705378
18,PXL_20220922_182647374.jpg,1,0.17816763012505024
18,PXL_20220922_183518814.jpg,5,0.1504095335277213
15,PXL_20220922_131720092.jpg,4,0.18959453913162677
15,PXL_20220922_131806066.jpg,5,0.10618808771334165
15,PXL_20220922_131746430.jpg,4,0.21097987682269587
15,PXL_20220922_132040123.PORTRAIT.jpg,5,0.11320112217300017
15,PXL_20220922_131811784.jpg,4,0.132559818056834
15,PXL_20220922_131405319.jpg,1,0.2097011251056373
15,PXL_20220922_131951023.PORTRAIT.jpg,1,0.2002715866284417
15,PXL_20220922_131411507.jpg,1,0.2151505033173525
15,PXL_20220922_131234792.jpg,1,0.21171547444249433
15,PXL_20220922_131844594.PORTRAIT.jpg,5,0.13894480294929223
15,PXL_20220922_132052576.PORTRAIT.jpg,4,0.0951020826529323
15,PXL_20220922_131732383.jpg,1,0.20504683428765502
2,PXL_20220922_173459363.jpg,5,0.1990435861453128
2,PXL_20220922_173350162.jpg,5,0.20076575699682886
2,PXL_20220922_173921134.jpg,5,0.17495820909701432
2,PXL_20220922_173515925.jpg,4,0.19415087742090487
2,PXL_20220922_173456436.jpg,5,0.21889568479558594
2,PXL_20220922_173513639.jpg,5,0.20566078720283945
2,PXL_20220922_173319356.jpg,5,0.18856282319253168
2,PXL_20220922_173448953.jpg,4,0.190220978010966
2,PXL_20220922_173411408.jpg,4,0.20873550286759948
2,PXL_20220922_173505354.jpg,9,0.19661827872287196
2,PXL_20220922_173736762.jpg,10,0.09485438848951375
2,PXL_20220922_173522398.jpg,9,0.19661932096684478
2,PXL_20220922_173932021.jpg,9,0.13469062855492644
2,PXL_20220922_173251686.jpg,4,0.23059395158480056
2,PXL_20220922_173547366.jpg,5,0.152680817840496
2,PXL_20220922_173507870.jpg,5,0.17221928074071555
13,PXL_20220922_141215176.jpg,9,0.12806673016077585
13,PXL_20220922_141016189.jpg,4,0.18947313996567824
13,PXL_20220922_141017374.jpg,1,0.19837788448225213
13,PXL_20220922_141205526.jpg,9,0.14654011088351868
13,PXL_20220922_141142245.jpg,9,0.141935150611081
13,PXL_20220922_140951373.jpg,1,0.18886265113508124
13,PXL_20220922_141038995.jpg,1,0.18866151249443022
13,PXL_20220922_141129747.jpg,9,0.16494015174230695
13,PXL_20220922_140447635.PORTRAIT.jpg,1,0.20946917158120695
13,PXL_20220922_141002299.jpg,1,0.19570257372452926
13,PXL_20220922_141013772.jpg,1,0.19383427980125745
13,PXL_20220922_141031824.jpg,1,0.19398907996295048
13,PXL_20220922_141137133.jpg,9,0.15433838743857262
13,PXL_20220922_141040848.jpg,4,0.19953834250631233
13,PXL_20220922_141207125.jpg,9,0.15930468858940702
13,PXL_20220922_141145430.jpg,9,0.135050170788839
13,PXL_20220922_141029313.jpg,4,0.18788719169912058
13,PXL_20220922_140956208.jpg,1,0.1837971329163922
13,PXL_20220922_141135379.jpg,9,0.1626678587975582
13,PXL_20220922_141143935.jpg,9,0.15939858674549798
9,PXL_20220922_140047100.jpg,5,0.20144634657052368
9,PXL_20220922_140335749.PORTRAIT.jpg,1,0.2640644860202893
9,PXL_20220922_135631351.jpg,1,0.24825788182530706
9,PXL_20220922_140315071.PORTRAIT.jpg,1,0.26578106297156556
9,PXL_20220922_140342859.PORTRAIT.jpg,1,0.27324767362823255
9,PXL_20220922_135610252.jpg,1,0.2347356873674699
9,PXL_20220922_140337825.PORTRAIT.jpg,1,0.2629047909361596
9,PXL_20220922_134605532.PORTRAIT.jpg,1,0.24170286785602096
9,PXL_20220922_135638177.jpg,1,0.2552675893827253
9,PXL_20220922_134538984.PORTRAIT.jpg,1,0.2513758731982551
9,PXL_20220922_140048541.jpg,9,0.18257255872389366
9,PXL_20220922_140339729.PORTRAIT.jpg,1,0.25301021443578503
9,PXL_20220922_135802547.jpg,1,0.2856423644718424
9,PXL_20220922_135941951.jpg,4,0.26511933986286956
9,PXL_20220922_135939416.jpg,4,0.26259042665061705
9,PXL_20220922_135940569.jpg,5,0.20228419235091577
9,PXL_20220922_140046379.jpg,5,0.21202978265795897
17,PXL_20220922_185158900.jpg,5,0.16134218980182227
17,PXL_20220922_185224507.jpg,5,0.15192252777841248
17,PXL_20220922_185242494.jpg,9,0.13762050203487752
17,PXL_20220922_185206022.jpg,9,0.15456487937718924
17,PXL_20220922_185248297.jpg,9,0.14198516446890028
5,PXL_20220922_143230097.jpg,1,0.20809919801345342
5,PXL_20220922_143012499.jpg,5,0.15221782545704957
5,PXL_20220922_143002045.jpg,5,0.1562796875575816
5,PXL_20220922_143139165.PORTRAIT.jpg,10,0.10441740712339828
5,PXL_20220922_142921035.jpg,4,0.16668668646856352
5,PXL_20220922_142517538.PORTRAIT.jpg,9,0.1534404338226652
5,PXL_20220922_142917997.jpg,4,0.16460266246124663
5,PXL_20220922_143049258.PORTRAIT.jpg,5,0.18443295747760305
5,PXL_20220922_142957675.jpg,9,0.13527478323919942
5,PXL_20220922_143106968.PORTRAIT.jpg,9,0.12523868575024164
5,PXL_20220922_142529483.PORTRAIT.jpg,9,0.15884067959553577
11,PXL_20220922_194826234.jpg,1,0.21507317663788306
11,PXL_20220922_194833505.jpg,1,0.22829292950303887
11,PXL_20220922_194806383.jpg,1,0.23187016895181134
11,PXL_20220922_194550829.jpg,1,0.33598339307820385
11,PXL_20220922_194659198.jpg,5,0.19453119455196735
11,PXL_20220922_194808967.jpg,1,0.22600322037693477
11,PXL_20220922_194054240.PORTRAIT.jpg,4,0.23515968896543138
11,PXL_20220922_194544335.jpg,5,0.326782068705916
11,PXL_20220922_194557410.jpg,5,0.3188840358313507
11,PXL_20220922_194815935.jpg,1,0.23535149755421905
11,PXL_20220922_194707277.jpg,5,0.1836521599966874
11,PXL_20220922_194144154.PORTRAIT.jpg,1,0.2580593367797675
11,PXL_20220922_194043213.PORTRAIT.jpg,1,0.25316925061115014
11,PXL_20220922_194109470.PORTRAIT.jpg,1,0.24417440567640386
14,PXL_20220922_160944429.jpg,5,0.21334668807968224
14,PXL_20220922_161120533.PORTRAIT.jpg,4,0.24059464888420476
14,PXL_20220922_161144902.PORTRAIT.jpg,1,0.2243242728166013
14,PXL_20220922_161148471.PORTRAIT.jpg,4,0.22833307031606434
14,PXL_20220922_161004335.jpg,4,0.2319894884487171
14,PXL_20220922_160954446.jpg,1,0.2575619132625057
14,PXL_20220922_161445106.jpg,9,0.14381043952983405
14,PXL_20220922_161017221.jpg,1,0.2591944562063151
14,PXL_20220922_161436829.jpg,9,0.16429518336881035
14,PXL_20220922_160742778.jpg,1,0.2231557050571762
14,PXL_20220922_160815863.jpg,1,0.21005548326543116
14,PXL_20220922_160826611.jpg,1,0.20987408596867607
14,PXL_20220922_161443026.jpg,1,0.25886850271275097
14,PXL_20220922_161107253.PORTRAIT.jpg,1,0.23596629580475345
16,PXL_20220922_162937771.jpg,1,0.19813509560970888
16,PXL_20220922_163330235.jpg,9,0.0708744926036903
16,PXL_20220922_163031782.jpg,5,0.19680158650204138
16,PXL_20220922_163049541.jpg,5,0.17319941904820227
16,PXL_20220922_162824514.jpg,1,0.20200282941510878
16,PXL_20220922_162910059.jpg,1,0.19046005623079174
16,PXL_20220922_163150248.jpg,5,0.2056918456695255
16,PXL_20220922_162917375.jpg,1,0.20455720930272028
16,PXL_20220922_162924532.jpg,1,0.2005917968616212
16,PXL_20220922_162746982.jpg,1,0.19453441337269453
16,PXL_20220922_163343338.jpg,4,0.1441833725056769
16,PXL_20220922_163052549.jpg,5,0.19139205610065718
16,PXL_20220922_163045525.jpg,5,0.16347184226707961
0,PXL_20220922_134006137.jpg,10,0.098387389829671
0,PXL_20220922_134203230.jpg,9,0.16872004759991782
0,PXL_20220922_134119737.jpg,9,0.15100843708029876
0,PXL_20220922_132959831.PORTRAIT.jpg,4,0.20809878713623892
0,PXL_20220922_134134361.jpg,9,0.15147173906483588
