ID,Ground_Truth_MST_Orb,Lowest_CIEDE2000
1,10,8.428725237879993
2,8,4.949793466398723
3,8,3.936710705617926
4,7,5.32640045391977
5,7,3.6262139199478027
6,1,8.15879752581065
7,7,4.685099684154537
8,4,5.476858242397527
9,7,3.8803137570469115
10,7,5.820759902594055
11,7,6.848504162554446
12,7,5.2820023458785546
13,1,7.1763962774162895
14,7,3.3532482705268865
15,1,7.962400632915373
16,7,6.38459870597159
17,7,9.059717959830246
18,7,10.175338374744673
19,7,4.437540642583632
20,1,3.8185518974699386
21,5,3.0647143250324453
22,7,4.163086223259641
23,7,5.793263242918976
24,4,4.544140160179732
25,10,5.119299266809357
26,6,5.929176319244168
27,1,6.378223184617465
28,1,11.509708169757015
29,7,3.0094489856812654
30,1,12.221794558022816
31,1,5.698318056117344
32,1,7.907237084385763
33,7,1.344185108612992
34,1,4.506620527528953
35,1,6.677348597828808
36,7,8.457734947197313
37,1,5.835470522311723
38,7,8.987225325322225
39,1,6.086911429504224
40,1,7.279505399445738
41,8,3.150564535135178
42,7,1.5650327147963616
43,1,11.086173136607064
44,7,6.956175594440623
45,1,10.274154462349689
46,7,4.020755558028291
47,7,7.937984422519637
48,1,8.439641432724205
49,1,6.380169518436779
50,1,8.439641432724205
51,1,9.034988624922104
52,1,6.890372406830184
53,1,7.494568687982063
54,1,7.006158852880102
55,1,8.361802574809364
56,2,2.6756735622433863
57,1,7.8869231507609205
58,7,10.94381360627667
59,1,12.260350509783114
60,1,8.535422493124724
61,1,10.370432184789959
62,1,8.439361562128758
63,9,6.514253645829292
64,1,7.3772479326726765
65,1,7.621188080948075
66,1,11.333609082279601
67,1,5.011403272771934
68,7,3.8279316613767143
69,7,2.856071921358106
70,1,5.885772687522545
71,1,4.505149304368198
72,1,7.312367656481852
73,2,4.909261371509761
74,1,8.026954134846495
75,1,6.866750967935201
76,1,7.175278972500028
77,1,4.717217630168177
78,1,5.6882611189036725
79,8,1.987852138266747
80,1,10.303875838480476
81,7,5.575340905807729
82,1,9.684998428158478
83,7,5.4439036334100805
84,2,2.7822705830618046
85,1,8.60968230118393
86,1,7.257082132030897
87,1,7.3663845090873155
88,7,2.5307164608760178
89,7,1.219555656440306
90,7,5.006592653788773
91,1,4.245536270482325
92,1,2.3651015267183793
93,1,9.710372884698815
94,1,8.519373906767292
95,1,8.192194817415421
96,2,3.034074502820527
97,7,4.1730570764115775
98,1,6.014857890638162
99,1,7.765650578005843
100,1,4.590152672371929
101,1,7.430603559643062
102,7,6.135885712841318
103,1,8.20445929146205
104,1,6.486823647944642
105,7,1.219555656440306
106,1,7.476981312781209
107,1,5.665200656382903
108,1,7.36278130679663
109,1,9.03704840383426
110,7,8.7144462661851
111,4,6.1811294689898855
112,1,5.68470235843652
113,1,8.0703672172106
114,1,9.106701156534434
115,1,6.920342040041458
116,7,6.040889897700118
117,7,8.914403002695762
118,7,7.338189783702263
119,1,8.888205032448049
120,1,8.646975299381332
121,1,11.524233596203628
122,1,10.091642375874686
123,1,9.53939451115674
124,1,5.92411458246732
125,7,9.590265780388886
126,1,6.350486801953013
127,7,2.5854343360153447
128,5,2.6535905921306315
129,7,1.9869640372494808
130,4,5.587744047603456
131,7,3.850745820815819
132,7,3.070848979316165
133,1,4.137370672237231
134,1,7.2088878921007105
135,1,5.952917802196657
136,1,3.999539185368871
137,1,9.543827581065168
138,1,7.5366386463734
139,1,4.450632453244714
140,7,2.5502339727270424
141,1,7.414534433879848
142,7,10.002360917629206
143,7,3.3693911643753207
144,7,7.738436645724238
145,7,8.494957882655573
146,1,9.512951246553792
147,7,7.999092146562712
148,1,4.073734106001638
149,1,7.15955963245998
150,1,7.794625120523897
151,1,7.659907226421248
152,1,5.952921109849124
153,1,5.24739374706645
154,1,5.4476361464640455
155,1,9.009936231065
156,1,6.070613565980057
157,1,8.397111052685485
158,1,8.155388905322072
159,1,5.704299626335782
160,1,6.744568516304817
161,7,2.63775190107427
162,1,11.851410177439169
163,7,4.333948540366826
164,1,5.473701354480485
165,1,3.1827064139832273
166,1,8.833935863317285
167,8,4.801059369460009
168,1,5.498085766866194
169,1,7.209205039219929
170,7,4.664191760775729
171,1,5.354601766974633
172,1,10.912853815259474
173,1,10.935389256522251
174,4,6.885681008779772
175,1,5.655140815332401
176,2,3.2905811784549552
177,1,6.496306450828025
178,2,4.736296875475572
179,1,6.350486801953013
180,2,4.901109476371019
181,1,9.80567342377306
182,1,8.45566050318482
183,1,5.385644830499031
184,1,4.374841045431359
185,1,7.156192149956151
186,1,4.245536270482325
187,1,9.691325601651513
188,1,4.113021518450906
189,1,6.6301604224942725
190,1,6.0540079107543185
191,1,4.655593976509219
192,8,1.9207791062754633
193,1,6.945720302434009
194,1,6.332085885475732
195,7,4.454347998829829
196,1,10.450256687464464
197,7,5.057324429194957
198,1,9.49292584043411
199,1,6.79479143731002
200,1,7.6754945359969975
201,1,8.539374664601347
202,1,10.379654616940641
203,7,2.63775190107427
204,7,9.769467289024938
205,1,10.117678535584671
206,1,7.763054128014282
207,7,5.675188483767155
208,1,7.538184426187316
209,2,4.632765820567867
